# Depth-area regression over ND dprst sample (issue #173 Task 7). Project=ND_3DEPProcessing_D22. n_sampled=731, n_usable=731 (626 non-flat / 105 flat). mean_depth_m = volume_mean_depth(depth_to_spill(dem)) over the polygon interior (_interior_mask). flat = is_hydroflattened verdict (cached from --flatness when available, else computed fresh) -- flat polygons are EXCLUDED from all fits (their measured depth is ~freeboard, not real bed depth; see Task 5). PLAYA-ANCHORED large-area extrapolation is DEFERRED (only 1 Playa polygon in the ND study area) -- see the run log for the full extrapolation-risk caveat.
COMID,FTYPE,area_m2,mean_depth_m,flat,n_interior_cells,resolution
14293729,SwampMarsh,1043190.5923374527,0.5294246137990201,False,1042074,1m
14745096,SwampMarsh,301495.53249419614,0.0,True,301218,1m
14826645,SwampMarsh,1130849.29540287,0.10642741514311221,False,1130197,1m
21542734,SwampMarsh,265505.82316902396,0.009465459496963409,False,265141,1m
14293517,SwampMarsh,256777.84943223002,0.18134211493224794,False,253793,1m
14293025,SwampMarsh,197185.55658786552,0.0,True,196981,1m
21542848,SwampMarsh,443124.96584088815,0.0,True,442624,1m
14745106,SwampMarsh,309614.1216539099,0.1328557114005767,False,309344,1m
14293469,SwampMarsh,144024.4542943448,0.1418019331368072,False,143874,1m
14750364,SwampMarsh,2136461.020857796,0.8375589818413091,False,2138370,1m
14745116,SwampMarsh,220873.70746846226,2.041373677855204e-05,False,220676,1m
14293093,SwampMarsh,508293.04478170635,2.2848710783319235e-05,False,513551,1m
14273906,SwampMarsh,353655.85071193345,0.3901828527197411,False,353177,1m
14745776,SwampMarsh,2419584.3476241957,0.0,True,2417646,1m
6680896,SwampMarsh,291443.1966831412,0.06608256592358107,False,291891,1m
14292581,SwampMarsh,220196.14988293662,1.3111058660767472,False,219917,1m
14293055,SwampMarsh,655303.2004006061,0.0003102930982902454,False,654659,1m
14826163,SwampMarsh,144634.2576051642,0.07078778766255664,False,144565,1m
14825723,SwampMarsh,47362.484166825205,0.2812159369850316,False,47333,1m
14678080,SwampMarsh,249455.39836787348,0.0001657795542407212,False,249197,1m
14680476,SwampMarsh,243379.08163284193,0.0,True,243149,1m
6690545,SwampMarsh,512325.81433102087,0.5147980083390918,False,512286,1m
14678964,SwampMarsh,256731.86228439698,0.0,True,256456,1m
120054378,SwampMarsh,580589.9340230543,3.7604070779514914e-05,False,578140,1m
14679350,SwampMarsh,770931.0368817456,5.7136037715056934e-08,False,770203,1m
14677920,SwampMarsh,959912.816830563,1.4799647791768477e-05,False,958881,1m
14747076,SwampMarsh,126959.58273016989,0.0,False,126862,1m
14825445,SwampMarsh,251427.56985139125,0.0,True,251305,1m
14826281,SwampMarsh,79068.7804105665,0.20331319688085267,False,79024,1m
14439648,SwampMarsh,945966.5274235613,0.0,True,945359,1m
21527834,SwampMarsh,483537.396439108,0.13847132136612536,False,477555,1m
14684440,SwampMarsh,800065.3675347201,0.0012014666763111225,False,796145,1m
14678030,SwampMarsh,209901.3299538053,0.0,True,209704,1m
14826477,SwampMarsh,144027.3938862294,0.050467753748575775,False,143938,1m
14439620,SwampMarsh,207919.52095231594,0.501763077921985,False,209652,1m
14825983,SwampMarsh,134790.78006276628,0.3179034907164117,False,134727,1m
14825731,SwampMarsh,314379.3465036301,0.0005481783184312553,False,314162,1m
