range,std,n_unique,flat,COMID,FTYPE,n_cells,resolution
3.7760009765625,0.7178279073883935,2955,False,14683240,LakePond,31385,1m
0.04998779296875,0.00025274646453023306,8,False,14433061,LakePond,67830,1m
1.162994384765625,0.16812858447376072,1044,False,14413473,LakePond,13798,1m
6.46197509765625,2.028674865561221,4732,False,14678234,LakePond,19668,1m
1.714019775390625,0.3039738443951712,1532,False,14295247,LakePond,30117,1m
0.0,0.0,1,True,11458920,LakePond,9547,1m
1.76898193359375,0.07564427023221341,585,False,11457394,LakePond,37330,1m
1.1710205078125,0.17637618990053694,909,False,11468114,LakePond,19610,1m
2.52801513671875,0.07500964030585874,528,False,14157452,LakePond,47391,1m
0.0,0.0,1,True,11497708,LakePond,394654,1m
0.02996826171875,0.00018363702964084336,7,False,11455330,LakePond,58105,1m
2.821990966796875,0.5538520682153678,2585,False,14290571,LakePond,29223,1m
4.316009521484375,0.226530293995317,2654,False,14275428,LakePond,656778,1m
2.61199951171875,0.4871537129903721,2330,False,14275966,LakePond,41150,1m
1.114013671875,0.2580341742387092,983,False,11462074,LakePond,35783,1m
0.0,0.0,1,True,14297577,LakePond,79688,1m
1.420013427734375,0.370441044255268,1240,False,14291413,LakePond,8371,1m
2.8590087890625,0.26292377858407917,2406,False,14267088,LakePond,328504,1m
2.227020263671875,0.2653751795215718,2103,False,14158432,LakePond,161252,1m
0.0,0.0,1,True,14680382,LakePond,38733,1m
0.0,0.0,1,True,14682888,LakePond,75422,1m
0.391998291015625,0.022699656823836893,193,False,14434073,LakePond,19636,1m
0.0,0.0,1,True,14267334,LakePond,69144,1m
4.21600341796875,0.4424349086203118,2642,False,14683952,LakePond,44196,1m
2.0419921875,0.3224310199348628,1348,False,11494600,LakePond,19040,1m
0.576019287109375,0.08163138147274913,479,False,14826019,LakePond,9536,1m
4.26995849609375,0.4694323102759823,3564,False,21540766,LakePond,214979,1m
1.27099609375,0.28196004654321616,1111,False,6674730,LakePond,26499,1m
2.334991455078125,0.3187816272119807,1420,False,14286631,LakePond,24325,1m
2.13800048828125,0.09718195016489548,567,False,14157642,LakePond,35024,1m
3.944000244140625,0.6565762070503728,2992,False,14172079,LakePond,22014,1m
2.13299560546875,0.19345854433728318,837,False,14414181,LakePond,9241,1m
1.498016357421875,0.30989403007330363,1345,False,14289595,LakePond,13493,1m
3.447021484375,0.472019496696516,1650,False,11496402,LakePond,24467,1m
0.676025390625,0.05229057958795024,420,False,14825823,LakePond,31104,1m
0.71600341796875,0.06617131241574331,492,False,21536132,LakePond,130963,1m
1.842010498046875,0.28007414272483616,1581,False,12568250,LakePond,44697,1m
1.32598876953125,0.15009659876070403,879,False,14297761,LakePond,33349,1m
0.62799072265625,0.10360450021479659,510,False,14298095,LakePond,3376,1m
0.0,0.0,1,True,14275786,LakePond,85973,1m
6.4100341796875,1.0513839696521337,2362,False,21540984,LakePond,18308,1m
