# Hollister/lakeMorpho terrain-slope max-depth prototype over an ND LakePond sample (issue #173 Task 6). Project=ND_3DEPProcessing_D22. n_sampled=300, n_usable=300. max_depth_m = lake_max_depth() (mean shoreline-ring slope x max in-polygon distance-to-shore, over the polygon interior via _interior_mask). mean_depth_m = max_to_mean(max_depth_m, shape='cone') = max_depth_m / 3 -- documented assumption (V/A of a cone), NOT field-calibrated in this spike; no bathymetry survey was available to fit the factor empirically. Cross-check: NHM's calibrated dprst_depth_avg median is ~49 in (docs/superpowers/... nhm_dprst_params_are_calibrated) -- compare against mean_depth_in below, but this spike does not block on matching it.
COMID,FTYPE,area_km2,max_depth_m,mean_depth_m,mean_depth_in,n_interior_cells,resolution
14174705,LakePond,0.13095951166932446,0.0012384152940913438,0.00041280509803044794,0.016252177989968537,130801,1m
12571742,LakePond,0.027239626409444682,3.621959555694991,1.2073198518983301,47.53230330122245,27210,1m
14291017,LakePond,0.05249182798121143,1.5641400327417905,0.5213800109139302,20.526783167682524,53120,1m
14279802,LakePond,0.046738355674546796,6.027849895373365,2.009283298457788,79.10568438861297,47023,1m
11455676,LakePond,0.04090274297414914,3.6590343883232146,1.2196781294410715,48.01884992390793,40874,1m
14293041,LakePond,0.021739326754611682,2.727291082035902,0.9090970273453007,35.791240876287226,21722,1m
14682844,LakePond,0.16560722648277598,0.0,0.0,0.0,166331,1m
14291939,LakePond,0.0299230592472781,2.9797514452750744,0.9932504817583581,39.104370791874736,29906,1m
14295045,LakePond,0.017822847317964,1.6432359000133336,0.5477453000044445,21.564787235704983,17807,1m
14426718,LakePond,0.011399943967782097,3.6370043544395605,1.2123347848131867,47.729741711573645,11398,1m
14142947,LakePond,0.07613842855155067,2.052715673380024,0.6842385577933412,26.938540444179623,76118,1m
11497148,LakePond,0.03481511388857303,1.3979698525448336,0.4659899508482779,18.346070963891787,35005,1m
14411863,LakePond,0.19577011211277945,6.126812657407453,2.042270885802484,80.40440900113238,192656,1m
14295327,LakePond,0.014991303193813367,1.370583465696604,0.45686115523220133,17.98666936760729,14984,1m
11494980,LakePond,0.051790400106175576,2.188226111157476,0.7294087037191586,28.716893606293645,51386,1m
14274248,LakePond,0.019695213218060753,3.8317232305366375,1.2772410768455458,50.28510891951682,19675,1m
14291029,LakePond,0.014808181875318953,1.6108539496736485,0.5369513165578828,21.1398270280155,14795,1m
6675358,LakePond,0.02078724671706023,0.0,0.0,0.0,20781,1m
11455576,LakePond,0.04899946343086821,2.3662050554049094,0.7887350184683031,31.05257655059894,48946,1m
14826393,LakePond,0.010875043162052272,1.1658183836871088,0.3886061278957029,15.299462115866614,10871,1m
14684684,LakePond,0.019557442752133794,1.8481322155427506,0.6160440718475835,24.253716713046547,19620,1m
14158708,LakePond,0.1714061318510009,0.0,0.0,0.0,171180,1m
14252971,LakePond,0.01644537518491735,0.4963148040698501,0.16543826802328337,6.513321155903469,16442,1m
14159202,LakePond,0.04114774726523814,0.0,0.0,0.0,41088,1m
14297705,LakePond,0.019267493380050092,2.449663347111778,0.8165544490372594,32.147830314041805,19247,1m
14253199,LakePond,0.09181551106032564,0.3828642990852562,0.12762143302841872,5.024468580472148,91783,1m
14155180,LakePond,0.030096928458031375,5.2815322818547425,1.7605107606182475,69.31148469661647,30048,1m
14275238,LakePond,0.032657161674337666,3.204828452390318,1.0682761507967726,42.058138884484016,32625,1m
14289517,LakePond,0.0146350028882658,1.3777421152426643,0.45924737174755476,18.080614950438406,14617,1m
11468204,LakePond,0.015640815943499295,1.216987839131341,0.40566261304378026,15.970977641794933,15639,1m
14286471,LakePond,0.06162866871778352,2.136038473714066,0.7120128245713553,28.032016104656716,61577,1m
14292837,LakePond,0.05017570454153553,1.588493459262473,0.5294978197541577,20.846382113503164,50101,1m
14183740,LakePond,0.12109126049520956,5.156043772635452,1.7186812575451507,67.66465297767834,120915,1m
11459766,LakePond,0.034209601492071334,3.0758464185427514,1.0252821395142504,40.36546036088999,34186,1m
14682796,LakePond,0.038004518519305856,3.4529993498529166,1.1509997832843055,45.31497656788144,37970,1m
14143285,LakePond,0.05719049824056404,1.2279046252184738,0.40930154173949124,16.114242628437943,57169,1m
11456418,LakePond,0.0629366686200811,0.0,0.0,0.0,62918,1m
14289959,LakePond,0.014239342226774131,1.9263771034208679,0.6421257011402892,25.280553066463302,14224,1m
14413455,LakePond,0.008718996214201611,0.8654326757730089,0.28847755859100294,11.357390329483644,8588,1m
11461774,LakePond,0.009341934728963178,2.133207071540553,0.711069023846851,27.994858575752907,9337,1m
14583823,LakePond,0.5106321338800446,1.6470489637950683,0.5490163212650228,21.614827469836072,510652,1m
14826561,LakePond,0.015912594683344387,1.9319711070705008,0.6439903690235003,25.353965227492107,15822,1m
12575332,LakePond,0.028018996560179844,1.6506663773674206,0.5502221257891402,21.66230011453103,28003,1m
21535674,LakePond,0.028961789384878523,3.0022371083288517,1.0007457027762838,39.399458392872575,28935,1m
11455906,LakePond,0.044025958884163455,0.0,0.0,0.0,43991,1m
21535126,LakePond,0.048550199859671975,10.247150405464717,3.4157168018215724,134.4771120593955,48474,1m
14298183,LakePond,0.01836913128294784,1.3213697053859779,0.4404565684619926,17.340819146005494,18342,1m
14292975,LakePond,0.03706129895390545,0.0,0.0,0.0,37011,1m
14414471,LakePond,0.03130504130598317,1.4267996551558817,0.47559988505196055,18.724415034484192,31287,1m
14289119,LakePond,0.010117351353280249,1.0131310697265137,0.3377103565755045,13.295690509413271,10109,1m
11457138,LakePond,0.04387368169610207,5.731299842724566,1.9104332809081885,75.21394931268347,43989,1m
14251475,LakePond,0.03160979025394628,3.2388332622429856,1.0796110874143285,42.50439647261086,31610,1m
14289423,LakePond,0.00820298542792764,1.213905804419422,0.4046352681398073,15.930530970191029,8196,1m
14048411,LakePond,0.06468785610808972,2.0229564063393455,0.6743188021131151,26.547998671073554,65277,1m
12572684,LakePond,0.12539301958841695,0.0,0.0,0.0,124352,1m
